City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,fisterra,42.9049,-9.2629,13.73,66,72,11.14,ES,1731456476
262,letlhakane,-21.4167,25.5833,19.56,85,85,3.84,BW,1731456477
263,juybar,36.6412,52.9124,12.64,93,100,1.84,IR,1731456478
264,ogoja,6.6547,8.7976,25.91,69,76,2.12,NG,1731456479
265,callao,-12.0667,-77.15,20.4,77,75,4.63,PE,1731456480
266,luanda,-8.8368,13.2343,24.98,87,98,5.53,AO,1731456481
267,yonggang-up,38.8561,125.4244,8.52,48,87,2.02,KP,1731456483
268,wick,58.4333,-3.0833,10.03,81,40,1.03,GB,1731456484
269,danilovka,50.3557,44.1168,-1.47,86,34,1.79,RU,1731456485
270,kerema,-7.9631,145.7785,28.32,72,77,2.03,PG,1731456486
271,zyryanovsk,49.7386,84.2719,-17.19,95,92,0.96,KZ,1731456487
272,iwanai,42.9744,140.5089,5.39,56,63,3.35,JP,1731456490
273,kankanhalli,12.55,77.4167,20.03,96,88,1.34,IN,1731456491
274,nyurba,63.2842,118.3319,-18.29,100,100,1.53,RU,1731456492
275,northam,51.0333,-4.2167,9.23,82,67,4.35,GB,1731456493
276,sabang,5.8933,95.3214,27.59,77,100,1.39,ID,1731456494
277,kupang,-10.1667,123.5833,32.32,58,20,4.63,ID,1731456495
278,walvis bay,-22.9575,14.5053,13.93,94,14,2.5,NA,1731456497
279,mangrol,21.1167,70.1167,25.46,53,0,4.02,IN,1731456498
280,ust'-ordynskiy,52.805,104.7508,-6.84,43,100,4.74,RU,1731456499
281,belle fourche,44.6714,-103.8522,8.73,46,61,6.2,US,1731456500
282,fort st. john,56.2499,-120.8529,-3.09,73,64,0.98,CA,1731456501
283,la ronge,55.1001,-105.2842,2.65,76,29,3.16,CA,1731456502
284,yeppoon,-23.1333,150.7333,27.47,61,95,5.19,AU,1731456504
285,fort bragg,35.139,-79.006,15.91,60,0,2.06,US,1731456505
286,hovd,48.0056,91.6419,-1.99,33,5,3.35,MN,1731456506
287,banes,20.9625,-75.7186,25.22,92,95,1.62,CU,1731456507
288,touros,-5.1989,-35.4608,25.6,81,4,5.87,BR,1731456508
289,weno,7.4515,151.8468,28.61,77,88,5.11,FM,1731456511
290,verkhnevilyuysk,63.4453,120.3167,-13.54,98,98,2.0,RU,1731456512
291,san sebastian de la gomera,28.0916,-17.1133,21.2,73,40,2.06,ES,1731456513
292,ust-kamenogorsk,49.9789,82.6103,-13.04,85,75,2.0,KZ,1731456515
293,thaton,16.9206,97.3714,22.8,95,4,1.58,MM,1731456516
294,new norfolk,-42.7826,147.0587,16.62,71,100,1.38,AU,1731456517
295,la romana,18.4273,-68.9728,26.2,94,75,0.0,DO,1731456518
296,magong,23.5654,119.5863,24.02,92,100,11.68,TW,1731456519
297,doba,8.65,16.85,24.35,50,36,1.13,TD,1731456520
298,nookat,40.2671,72.6207,5.6,65,100,1.06,KG,1731456521
299,nuuk,64.1835,-51.7216,1.34,80,100,7.72,GL,1731456523
300,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,1731456524
301,susuman,62.7833,148.1667,-24.78,98,99,1.08,RU,1731456525
302,khamis mushait,18.3064,42.7292,14.34,82,0,0.0,SA,1731456526
303,moose jaw,50.4001,-105.5344,6.59,57,100,2.9,CA,1731456527
304,krasnyy chikoy,50.3643,108.7512,-9.04,91,97,1.64,RU,1731456529
305,codrington,-38.2667,141.9667,17.03,58,32,6.76,AU,1731456530
306,balaipungut,1.05,101.2833,24.44,97,100,1.1,ID,1731456532
307,amursk,50.2261,136.8994,-6.92,62,5,4.15,RU,1731456533
308,cockburn town,21.4612,-71.1419,27.94,82,51,4.89,TC,1731456534
